State,Region,Division,HDI,HDI_M,HDI_F,LE,LE_M,LE_F,Earnings,Earnings_M,Earnings_F,pctNoHS,pctNoHS_M,pctNoHS_F,pctHSDiploma,pctHSDiploma_M,pctHSDiploma_F,pctBA,pctBA_M,pctBA_F,pctMAPlus,pctMAPlus_M,pctMAPlus_F,pctSchoolEnrollM,pctSchoolEnroll_M,pctSchoolEnroll_F,pctLowBRTHWGHT,pctNoPreSchool,pct4THGRADE<READPROF,pctHSNotGrad4YR,pctCHLDRNPVRTY,pctSENIOR PVRTY,pctPRESCHOOL,pctLEARNINGESL,pctSpEd,pctEconDISADVSTDNTS,pct4THGRADE>=PROFREAD,pct8THGRADE>=PROFMATH,pctPUBLICHSGRAD,pctHSGRADtoCLG,ANNUALCOST4YRPUB,ANNUALCOST4YRPRIV,ANNUALCOST2YRPUB,PUBLIC$perPUPIL,$HIGHERED_PC,$RD_PC,pctINTERNET,pctTEEN_NSNW,TotalPOP,pct<18,pct>65,pctURBAN,pctRURAL,pctWHITE,pctLATINO,pctAFRAMER,pctASIAN,pctNATIVE,pctOTHER,pctHOMELESS,pctLongCommute,IMR,CMR,pctDiabetes,pctObesity,TEENBIRTHRATE,PHYSICIANRATE,pctSmoking,pctBingeDrink,pctUnINs,TotArmy,ArmyRate2007,ArmyRate2008,ViolCrimeRate,PropCrimeRate,HOMICIDERATE,pctFIREARM,SUICIDERATE,RAPERATE,PrisonerRate,PrisonExp_PP,pctVoter,pctWMNLEGISLATURE,CO2_PC,CARCINOGEN,LEAD,MERCURY,PROTECTFOREST,ENRGCONS_PC,WATERCONS_PDPC,LABORFORCE,GDP_PC,MinWage,pctPOVERTY,pctCHLDPOVERTY,UR,pctMNGMT,pctSERVICE,pctSALESOFFICE,pctFARMFISH,pctCONSTRMAINT,pctPRODTRANSP
Hawaii,West,Pacific,5.53,5.36,5.73,81.3,78.00,84.7,31119,35492.00,23366.00,10.1,8.92,11.23,89.9,91.08,88.77,29.5,29.35,29.67,9.6,9.84,9.42,74.9,73.76,76.62,8.3,44.9,72.8,24.6,16.0,6.8,54.55,11.0,11.0,47.0,27.2,30.0,75.4,63.6,"15,133","23,718","2,172","13,526       ",875,216       ,76.2,9.4,"1,360,301",22.3,14.3,91.9,8.1      ,22.7,8.9,1.5,37.7,0.2,29.0,0.4,8.6,6.2,29.6,8.2,21.9,32.5,31.3,16.8,21.5,8.0,260,1.7,1.5,239.2,3075.2,2.1,23.1,15.0,20.5,332,39313.7,44.2,32.9,18.1,137191,43593,0.1,37055.0,257939.0,1674.4,78.6,44296.0,7.3,10.7,13.9,4.4,33.0,22.5,26.3,0.8,10.4,7.1
Idaho,West,Mountain,4.50,4.69,4.29,79.5,77.38,81.6,23109,28305.00,27240.00,11.7,12.34,11.06,88.3,87.66,88.94,24.4,25.57,23.24,7.7,8.99,6.37,76.1,75.65,76.00,6.8,64.8,67.4,16.0,23.9,7.9,36.58,6.0,10.0,45.0,32.6,36.9,84.0,45.1,"11,773","13,122","2,557","7,640       ",324,74       ,80.0,8.2,"1,567,582",27.4,12.4,70.6,29.4      ,84.0,11.2,0.6,1.2,1.1,1.9,0.1,4.9,4.8,32.8,7.0,27.1,33.0,18.4,17.2,16.6,18.0,446,1.8,2.1,207.9,1983.5,1.8,65.4,18.9,30.0,482,33251.6,59.6,24.8,10.5,11132013,8451447,4.4,57835.0,359116.0,15359.1,76.4,32025.0,7.3,15.7,19.0,6.3,32.2,16.4,24.9,2.6,11.0,12.9
Illinois,MidWest,EastNorthCntrl,5.31,5.33,5.23,79.0,76.40,81.4,30462,36240.00,18772.00,13.1,13.68,12.60,86.9,86.32,87.40,30.8,30.87,30.65,11.5,11.79,11.25,79.7,79.04,80.91,8.3,45.4,66.7,18.1,22.1,8.4,56.01,8.0,14.0,44.0,33.3,32.8,81.9,58.7,"20,054","34,411","2,947","12,610       ",217,153       ,78.2,7.4,"12,830,632",24.4,12.5,88.5,11.5      ,63.7,15.8,14.3,4.5,0.1,1.6,0.1,11.7,6.8,26.7,8.3,27.1,33.0,27.9,20.9,23.0,15.0,2220,1.3,1.2,414.8,2578.7,5.8,86.2,9.0,27.7,É,31220.6,58.9,27.7,19.0,7903629,2324807,0.9,493.0,312341.0,1341.3,77.1,45306.0,8.3,13.8,19.4,8.7,35.1,16.5,25.9,0.3,8.0,14.2
Indiana,MidWest,EastNorthCntrl,4.56,4.62,4.42,77.6,75.08,80.0,26708,32248.00,25004.00,13.0,13.55,12.41,87.0,86.45,87.59,22.7,23.01,22.37,8.1,8.16,8.01,76.9,76.29,77.50,8.0,59.9,67.3,22.8,25.3,6.8,40.22,5.0,16.0,47.0,32.7,34.1,77.2,65.8,"16,912","32,718","3,256","10,042       ",300,150       ,73.5,7.6,"6,483,802",24.8,13.0,72.4,27.6      ,81.5,6.0,9.0,1.6,0.2,1.7,0.1,5.8,7.6,30.0,9.6,30.8,37.3,22.2,25.6,17.8,13.0,1518,1.6,1.7,345.7,3029.2,4.7,74.5,13.1,25.5,429,26807.9,55.1,21.3,36.7,23204261,7161841,1.8,7301.0,473672.0,1679.2,76.7,37935.0,7.3,15.3,21.7,8.0,31.9,16.2,24.3,0.4,9.2,17.9
Iowa,MidWest,WestNorthCntrl,5.03,5.01,4.93,79.7,77.34,82.0,27001,32016.00,21513.00,9.4,10.14,8.78,90.6,89.86,91.22,24.9,24.71,25.16,7.9,8.21,7.53,79.0,76.65,80.20,7.0,52.6,66.8,12.1,19.4,6.7,50.63,4.0,14.0,39.0,33.2,33.6,87.9,66.6,"14,855","22,749","3,769","9,662       ",1354,176       ,77.3,4.4,"3,046,355",23.9,14.9,64.0,36.0      ,88.7,5.0,2.9,1.7,0.3,1.5,0.1,3.3,4.9,27.5,7.0,29.0,28.6,21.8,20.4,23.1,11.0,588,1.4,1.4,263.9,2271.8,1.5,56.8,12.1,28.3,291,47505.1,69.9,23.3,26.9,2911959,574438,1.6,1986.0,409300.0,1278.2,82.4,41404.0,7.3,12.6,16.3,4.5,32.8,16.4,24.3,1.1,8.7,16.7
Kansas,MidWest,WestNorthCntrl,4.96,5.01,4.80,78.7,76.35,81.0,27025,32265.00,22174.00,10.8,11.40,10.31,89.2,88.60,89.69,29.8,29.83,29.71,10.5,10.96,10.09,78.4,77.51,78.80,7.1,53.7,63.9,15.5,22.0,7.7,47.53,8.0,14.0,48.0,36.1,40.8,84.5,64.7,"13,229","26,156","2,463","11,593       ",793,144       ,80.2,5.1,"2,853,118",25.5,13.2,74.2,25.8      ,78.2,10.5,5.7,2.3,0.8,2.4,0.1,3.5,6.2,24.3,8.1,29.6,39.3,24.0,22.0,17.0,13.0,689,2.0,1.7,354.6,3143.2,2.9,59.5,13.9,36.5,308,47161.9,56.8,30.3,26.1,2726782,251868,1.1,É,404090.0,1546.4,80.9,40716.0,7.3,13.6,18.4,5.3,35.6,15.9,24.7,0.7,9.5,13.6
Kentucky,South,EastSouthAtlntc,4.02,3.98,4.08,76.0,73.40,78.5,25169,30223.00,21811.00,18.1,19.21,17.02,81.9,80.79,82.98,20.5,20.14,20.91,8.1,7.45,8.79,74.7,72.55,76.74,9.0,57.1,64.5,20.1,31.6,11.2,48.55,2.0,15.0,57.0,35.5,30.7,79.9,62.9,"15,002","25,074","3,148","10,151       ",1300,119       ,72.1,10.1,"4,339,367",23.6,13.3,58.4,41.6      ,86.3,3.1,7.7,1.1,0.2,1.6,0.1,5.5,6.8,28.6,9.9,30.4,46.2,23.1,29.0,16.1,15.0,927,1.8,1.7,222.6,2552.9,4.5,63.5,14.2,29.0,488,26469.2,55.3,15.9,36.3,9474980,1339352,1.4,3144.0,472577.0,1159.7,70.7,33135.0,7.3,19.0,26.3,7.7,30.6,16.3,25.4,0.7,10.0,17.0
Louisiana,South,WestSouthAtlntc,4.12,4.22,4.08,75.7,72.75,78.6,26566,34495.00,21283.00,18.1,19.53,16.70,81.9,80.47,83.30,21.4,20.49,22.26,7.0,6.72,7.30,75.2,73.38,76.63,10.7,46.6,77.4,31.2,32.1,11.5,55.01,2.0,12.0,66.0,22.6,22.3,68.8,64.7,"11,856","34,616","2,132","11,520       ",653,150       ,71.0,10.9,"4,533,372",24.7,12.3,73.2,26.8      ,60.3,4.2,31.8,1.5,0.6,1.5,0.3,7.8,7.6,42.4,10.7,33.4,47.7,25.4,25.7,16.1,20.0,922,1.5,1.4,496.9,3540.6,10.8,81.3,12.3,25.2,858,21344.1,60.4,15.3,43.8,21255336,1575659,23.1,É,850341.0,2890.4,71.0,42764.0,É,18.7,27.3,6.2,30.8,18.3,25.3,0.6,12.5,12.4
Maine,NorthEast,NewEngland,4.93,4.92,4.94,79.2,76.80,81.5,26621,31306.00,21107.00,9.7,10.98,8.50,90.3,89.02,91.50,26.8,25.76,27.73,9.5,9.33,9.58,77.7,77.34,78.96,6.3,56.9,67.6,17.2,22.0,9.5,39.13,3.0,16.0,43.0,32.4,38.8,82.8,56.2,"17,767","36,525","3,334","13,690       ",208,97       ,81.2,7.8,"1,328,361",20.7,15.9,38.7,61.3      ,94.4,1.3,1.1,1.0,0.6,1.5,0.2,6.5,5.4,24.6,8.3,27.8,21.4,31.1,22.8,17.3,10.0,369,2.3,2.2,122.7,2509.9,1.9,56.0,13.2,28.0,133,69902.0,68.1,29.0,17.4,745090,49556,0.1,674572.0,366952.0,516.9,77.5,34455.0,7.5,12.9,17.8,7.1,32.8,18.0,24.9,1.5,10.0,12.7
Maryland,South,SouthAtlntc,5.94,5.79,5.97,78.8,76.14,81.3,38214,42610.00,22579.00,11.9,13.04,10.97,88.1,86.96,89.03,36.1,36.45,35.71,16.4,17.18,15.64,78.5,77.46,79.23,8.8,48.0,57.0,17.8,15.2,7.7,51.67,5.0,12.0,40.0,43.0,40.4,82.2,64.0,"16,963","40,338","3,237","14,753       ",793,488       ,81.4,8.3,"5,773,552",23.4,12.3,87.2,12.8      ,54.7,8.2,29.0,5.5,0.2,2.4,0.2,13.9,6.8,32.5,8.7,28.3,27.3,39.1,19.1,18.0,13.0,952,1.2,1.2,476.8,2753.5,6.3,75.9,8.3,21.0,402,55682.0,66.2,30.9,15.0,171767,365272,1.4,2014.0,275676.0,1504.7,79.7,46054.0,7.3,9.9,13.0,6.4,42.6,15.9,24.3,0.3,8.8,8.2
