1899,100,100,100
1900,101,105,107
1901,112,110,114
1902,122,117,122
1903,124,122,131
1904,122,121,138
1905,143,125,149
1906,152,134,163
1907,151,140,176
1908,126,123,185
1909,155,143,198
1910,159,147,208
1911,153,148,216
1912,177,155,226
1912,184,156,236
1913,169,152,244
1914,189,156,266
1915,225,183,298
1916,227,198,335
1917,223,201,366
1918,218,196,387
1919,231,194,407
1920,179,146,417
1921,240,161,431
